year;month;revenue
2023;4;73051340
2024;9;73818792
2023;3;38890835
2024;10;41091575
2023;1;50502240
2023;9;34056356
2023;11;64623384
2024;7;72291372
2023;2;8960337
2024;1;53523291
2024;4;29415981
2023;7;45323425
2023;9;39046494
2023;12;33033448
2023;7;90373992
2023;3;117720906
2024;11;11269266
2023;2;87183210
2023;2;85739860
2023;8;18583656
2023;7;31833949
2023;4;29211756
2024;10;6473324
2024;7;20466429
2024;10;108411300
2023;8;120702450
2023;9;23304450
2024;10;22965640
2023;4;60851525
2023;8;17863678
2024;1;12674582
2024;11;34281868
2023;7;50883237
2024;4;126382158
2023;5;105884658
2023;1;39235592
2024;2;84612575
2024;9;50053269
2023;12;108710802
2024;8;39960094
2024;5;68442816
2023;1;27214863
2023;6;30659914
2024;8;5565726
2024;7;89725505
2024;9;49554210
2023;4;59996589
2024;2;50382354
2023;4;72596600
2023;2;138095279
2023;11;44052234
2024;3;42185060
2024;9;8471525
2023;12;18911900
2024;10;58590315
2024;10;118122970
2024;4;45601410
2023;4;83438140
2023;9;16275434
2023;9;38970505
2023;3;40398876
2023;4;64936655
2023;12;13080780
2023;6;30606590
2024;8;20051951
2023;6;31073175
2023;2;31847473
2023;7;91961615
2023;10;56441308
2023;4;33613910
2024;11;50129292
2023;9;122808126
2024;11;5909995
2023;8;38716644
2024;12;28038402
2023;3;36998940
2024;4;49724964
2024;11;126235452
2024;6;42695405
2024;9;35633674
2024;5;4517923
2023;9;12080370
2024;12;72159092
2023;6;52712485
2024;3;33354624
2023;12;55920138
2023;4;18613982
2023;8;6115650
2024;6;117315168
2023;5;9268842
2023;9;104547708
2023;11;84440215
2024;10;56495005
2023;3;33254032
2024;12;38191104
2024;8;33776838
2023;8;12050606
2023;10;12807342
2024;5;81786772
2024;12;13028358
2023;1;53642911
2023;5;45232590
2023;2;77054430
2023;8;47890080
2023;10;9652392
2024;7;17482077
2023;5;119075152
2023;3;35011138
2024;10;14033325
2023;2;11961442
2024;11;16128074
2024;10;141740123
2023;3;105139926
2023;2;98433585
2023;2;56620053
2023;1;20018862
2024;9;121205917
2023;3;117367355
2023;1;67492880
2024;12;17597780
2023;5;14205795
2024;1;104040440
2023;11;15842480
2024;3;27077679
2024;9;73292590
2023;8;9725510
2023;8;9497083
2023;1;13163856
2024;5;43723805
2023;6;46342827
2023;1;54864780
2024;11;34224492
2023;6;88788325
2023;8;36327854
2023;10;83789010
2023;1;43048523
2024;8;48111270
2023;8;9907918
2023;2;17171430
2023;6;16843054
2024;10;80625128
2023;6;17064308
2023;10;28036899
2023;6;24254335
2023;1;15252216
2023;10;36191206
2023;9;53222319
2023;1;29448916
2023;7;98651015
2024;4;14695716
2023;5;124721240
2023;2;39810600
2024;2;40907496
2024;2;53967552
2024;7;12334108
2023;11;20325656
2024;10;19680760
2023;3;34504644
2023;1;8437934
2023;6;24130155
2024;11;73259390
2023;4;55329078
2024;10;79211800
2023;1;98964110
2023;11;17668804
2024;8;74135365
2023;4;86999425
2024;3;45436764
2024;9;7943676
2023;3;35175910
2024;1;23513548
2024;5;92315760
2023;6;66868860
2023;4;120357930
2023;8;122048766
2023;8;61166063
2023;4;35688276
2023;5;118520213
2023;2;120876702
2024;8;14150268
2023;10;46259415
2023;5;5722320
2023;8;35665464
2024;2;57829653
2023;5;6171210
2024;3;50715690
2024;10;97776685
2023;6;18339651
2023;11;99467770
2024;10;40184490
2024;10;38454984
2023;10;71476160
2023;3;35572428
2024;11;69020656
2024;5;20609130
2023;7;17800248
2024;5;45419688
2024;12;142529037
2024;3;31215079
2024;11;104334582
2023;1;40283505
2023;11;109278810
2024;8;29255178
2023;5;11477012
2024;12;22498610
2023;8;19693283
2024;8;44411964
2024;5;12936904
2023;2;24461388
2023;4;49290480
2023;12;106455690
2024;9;91824204
2023;11;91644760
2024;1;31960135
2023;2;119463127
2023;11;33173976
2024;7;83748450
2023;12;33631368
2024;7;20372638
2024;2;29097748
2023;1;31689049
2024;12;30302852
2024;4;62863416
2024;2;30845176
2023;7;15402385
2023;7;59478096
2024;12;44384130
2023;11;8984090
2023;3;117091002
2024;4;9169648
2024;2;79352304
2023;5;4920597
2024;12;101921575
2023;1;8843636
2024;6;88918535
2024;1;16846318
2024;1;33287022
2024;3;20058819
2024;11;52007100
2023;10;27544509
2023;10;59837592
2023;8;35619744
2023;2;51361905
2023;1;118056456
2023;4;72532100
2023;1;36597752
2024;7;89321795
2023;11;61016488
2023;7;105743603
2024;5;31928155
2023;1;29193480
2023;5;6094604
2024;12;46446760
2024;12;4441124
2023;12;44381845
2024;8;141310540
2023;4;69716260
2024;6;37253392
2024;7;43985950
2023;3;52804560
2023;1;35289664
2024;4;69028152
2024;1;53532999
2024;8;110758464
2023;10;39365916
2023;6;12395073
2023;11;35706598
2023;1;13015212
2023;1;36380834
2023;9;38254950
2023;7;24620710
2023;6;12036345
2024;1;8890479
2024;1;34294592
2024;10;34821660
2023;6;71987032
2024;6;86984400
2023;10;34919582
2024;7;121454928
2024;8;50744316
2024;9;7984965
2024;3;106470084
2023;12;28691945
2023;1;38333515
2024;9;46769538
2023;10;7835914
2024;3;33402152
2023;12;27918546
2023;2;9540376
2023;11;16760358
2024;8;87518190
2023;12;58290352
2024;8;33106724
2023;2;44586738
2024;1;108459190
2023;4;46099926
2023;1;86135955
2023;2;35502918
2024;10;23192740
2023;5;41732544
2024;10;23143420
2024;10;121763118
2023;11;11515362
2024;7;52374624
2023;4;72779568
2023;3;49704024
2024;3;12299982
2024;12;53998497
2023;2;17695395
2023;4;118679253
2024;4;25746756
2024;9;51749892
2023;1;98354815
2024;10;36508140
2023;4;8693783
2023;11;40337510
2024;2;73165308
2024;4;9143552
2023;4;48359238
2024;3;6198045
2024;10;60458644
2024;2;18678993
2024;8;37725165
2024;4;36258996
2024;6;52589952
2023;4;28474407
2024;3;33140574
2024;10;41938500
2024;6;4251537
2023;2;18859336
2024;2;15071139
2024;7;79709548
2023;8;44247186
2023;3;31958504
2024;6;14567052
2023;7;36282538
2024;8;32522340
2024;2;15642994
2023;8;15893272
2024;12;8180481
2024;9;75486090
2024;3;55639724
2023;8;32993284
2023;1;47925060
2024;10;77311805
2024;1;15258994
2024;5;101709692
2023;12;45803995
2024;7;89716656
2024;1;31914764
2023;9;66704288
2024;5;42908040
2023;5;68031768
2023;8;9366808
2024;10;46709825
2024;10;43674015
2024;2;49511262
2024;12;59538390
2024;2;54484410
2023;4;117131721
2023;4;41194055
2024;4;73988328
2023;3;117703410
2024;8;127163155
2023;7;52692102
2023;3;34738098
2024;9;8042601
2023;8;52811676
2024;2;18216987
2023;1;19929276
2024;5;121672026
2023;7;64352547
2024;12;5767613
2023;4;33202722
2023;6;19811955
2023;2;18556842
2023;5;36026454
2024;9;60066660
2024;7;58180878
2024;8;8157456
2023;3;17269605
2023;9;36117572
2024;10;51450072
2024;11;90978420
2024;10;39948026
2024;9;36622088
2023;8;27767034
2024;12;45576264
2023;7;60358864
2024;10;89483160
2023;11;12106686
2024;5;60917634
2024;8;117464326
2024;5;106984902
2023;3;75066585
2023;2;4730265
2023;3;43210275
2023;3;54186666
2023;1;121065738
2023;2;19518658
2024;11;91241628
2023;9;92346055
2023;10;29800910
2024;7;23672085
2024;6;16184262
2024;1;54523650
2023;1;80052048
2024;10;7533691
2024;5;9592368
2023;12;15021121
2024;8;107492329
2023;11;16912464
2023;6;12313944
2023;5;81837272
2023;7;44620744
2023;10;14975595
2024;10;24332392
2023;12;51663111
2024;5;88477098
2023;9;70215636
2023;3;62404958
2023;10;58113460
2023;3;5635565
2024;3;40338800
2023;9;85442975
2023;7;47948700
2023;8;19681211
2024;5;61239960
2024;10;7544900
2024;11;117278418
2024;3;49830465
2024;8;18752676
2024;5;32692888
2023;9;89371130
2023;5;6382487
2023;7;16996507
2024;8;8233312
2023;11;53957271
2023;12;47356320
2024;7;18377264
2023;1;73457100
2023;4;74379800
2023;6;16539328
2024;8;41826815
2023;11;106940964
2024;10;24565542
2023;12;49370052
2024;5;17945002
2024;10;58925984
2023;7;88984884
2023;12;43890294
2024;9;73384030
2024;3;58275212
2024;7;20226802
2024;9;16849146
2023;12;6277881
2024;3;64629054
2023;9;12565754
2024;4;123934461
2023;2;4983825
2023;7;20255600
2023;10;29818128
2024;11;16321716
2023;12;17934486
2023;12;76839820
2023;4;18219282
2023;9;30496265
2024;10;35903116
2024;10;9884692
2024;11;12478140
2024;1;8182176
2023;1;142345581
2024;6;39412457
2024;8;14929374
2023;8;29348268
2024;11;4828294
2023;2;24342335
2023;12;101832250
2023;11;23256252
2024;4;26153310
2024;6;103667694
2023;6;27923805
2024;5;19721480
2023;5;34282422
2023;7;4356898
2024;12;99127686
2024;1;46452414
2024;1;54783057
2024;3;90173190
2024;9;28162548
2024;6;63797013
2024;2;26228151
2023;9;41132405
2023;12;26836674
2023;6;54940047
2023;12;85889000
2023;11;90259776
2023;6;47036055
2024;2;141789284
2024;12;67391440
2024;6;122170734
2023;4;36697324
2023;8;61985456
2023;11;25883781
2023;5;44449440
2023;4;17125014
2023;2;36546442
2024;2;108000588
2023;1;90101010
2024;11;44813820
2024;11;26320326
2023;5;8058672
2023;2;17561240
2023;1;34876934
2023;11;67764192
2024;3;7676743
2023;3;106836597
2023;4;100011835
2024;3;19105752
2024;7;73057060
2024;7;25726353
2023;1;74966080
2024;2;43820588
2024;3;26945175
2023;11;22584984
2024;8;28635675
2023;3;18961136
2023;1;13161075
2023;5;35136862
2023;9;118309905
2024;8;30749845
2023;4;56224920
2024;7;54472978
2024;8;55548648
2024;10;7785960
2023;4;16546420
2024;2;108010742
2023;2;137139296
2023;10;105508200
2024;12;82730010
2024;11;18876696
2024;7;8199158
2023;3;4494700
2024;7;67628340
2024;5;19825497
2024;2;99359970
2023;7;73864595
2023;1;37094496
2023;6;34910460
2023;6;53552808
2024;11;18957488
2024;11;13041660
2023;7;5708859
2023;2;33945816
2023;12;36881136
2024;2;35355438
2024;1;16505916
2023;1;40196880
2024;7;30775423
2023;1;9243859
2023;6;12898698
2023;3;70794088
2023;1;34653066
2024;4;60577455
2023;4;16833713
2023;2;76453025
2023;9;88295170
2023;6;12651252
2024;8;44399880
2023;4;60463748
2023;1;32305150
2024;1;23395016
2023;7;74174855
2023;4;30505844
2024;2;17283760
2024;11;14896981
2024;8;18078280
2024;4;86710325
2024;12;141471435
2023;7;60784203
2024;2;18013922
2024;1;109410060
2024;9;49905567
2024;3;14820153
2024;1;36873474
2023;5;28086520
2023;12;102129948
2023;2;15361248
2023;6;40341596
2024;10;11723438
2023;3;25518546
2024;10;106022329
2023;2;17900890
2023;5;19831356
2023;2;142033143
2023;3;127669248
2024;6;71940004
2024;7;4400826
2023;3;47852580
2024;3;53931531
2024;2;35445084
2024;6;128056488
2023;8;50900265
2023;7;60360819
2024;1;17534494
2024;10;40671650
2023;3;100882925
2024;10;49603716
2024;6;8707654
2024;2;62482490
2024;12;40760428
2024;11;36838704
2023;1;26250432
2024;12;61625214
2024;12;71975256
2023;5;29422915
2023;7;124395488
2023;12;19258272
2023;11;41346525
2023;3;57519728
2023;1;71412304
2024;7;120884508
2024;1;9896404
2024;1;50208561
2024;9;102794430
2024;3;8612186
2023;7;49655151
2023;7;17035352
2024;11;54080010
2024;11;37254516
2024;5;104248690
2024;12;17176999
2023;9;73905404
2024;5;40812900
2023;2;46000692
2024;3;81215224
2024;7;128316636
2024;4;64800260
2023;9;45206435
2023;2;59225677
2023;7;118843879
2024;1;23493572
2024;1;102761556
2023;6;7658598
2024;3;4417247
2023;12;18286635
2024;6;33472188
2023;4;25884648
2024;1;23098140
2023;8;92427090
2023;7;7575403
2024;5;52351311
2024;11;32898222
2023;7;58896222
2023;3;47981490
2024;7;101868837
2024;11;35444246
2023;12;122684286
2024;1;29144105
2023;8;46063965
2023;1;15444256
2024;3;91405815
2023;5;74255965
2024;12;17325782
2024;6;85085195
2023;6;28318668
2024;9;40187258
2023;10;29011500
2023;4;126039431
2023;10;90678925
2024;7;4757634
2024;9;98428195
2023;2;24818380
2024;7;60013292
2024;2;7747908
2024;1;51600099
2024;1;12929598
2023;9;87207050
2024;5;40290606
2024;2;70346776
2023;2;20351161
2023;3;48541620
2024;3;35174496
2023;2;70760984
2023;7;100294940
2023;8;56198946
2023;9;19330332
2024;11;19222149
2024;12;28076469
2024;11;29638330
2023;12;8415218
2024;1;62937847
2023;11;73455668
2023;11;71504144
2024;4;33518468
2024;12;17949744
2024;8;31994048
